gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
TNFRSF4,49.43421682238482,1.5173628155548171,0.31435842886163995,5.917395880212299e-9,6.86981483617028e-8,LSvsNL,up
SCNN1D,120.31072988120759,1.2575682310294927,0.2826791993209186,3.64414012291878e-8,3.591650247180157e-7,LSvsNL,up
PLCH2,290.1371375389856,-1.0370455584766836,0.1923296265747822,3.5337517072558755e-10,5.374219127148163e-9,LSvsNL,down
TNFRSF9,26.928186180941964,1.8256265064780686,0.4269015827577019,3.26103562014053e-8,3.2542589088392297e-7,LSvsNL,up
AGMAT,13.057023119219776,1.3855662010198861,0.29280977953509585,4.123962982565345e-8,4.0266445708387564e-7,LSvsNL,up
MST1L,76.38375549935843,-1.0116615481694082,0.19254610770788366,1.323130809183787e-9,1.7936401995838727e-8,LSvsNL,down
PLA2G2A,978.9221884991475,1.910129764203847,0.4207578232544636,1.6348482692407937e-9,2.1749623222293462e-8,LSvsNL,up
PLA2G2F,1400.6434330605398,1.345684234245028,0.13038808829656517,6.37838010910118e-27,1.310483111784946e-24,LSvsNL,up
UBXN10,80.75235480665613,-1.0389270772615493,0.24509992734225206,6.951502943083249e-7,5.078859711343488e-6,LSvsNL,down
FAM43B,9.104731941259923,1.9119023254379264,0.3633913606850267,4.4465192174502434e-10,6.597751876304683e-9,LSvsNL,up
ALPL,56.573167250930375,1.7441020438314618,0.3686712587420563,4.846237910708649e-9,5.7421674643506e-8,LSvsNL,up
C1QB,557.6188437029535,1.0379895158455406,0.3042029006010522,9.186149412892713e-6,5.2157975545005667e-5,LSvsNL,up
EPHB2,50.42612213816561,1.3431775053681252,0.38050965547802884,3.2799681612800744e-6,2.0891340615677387e-5,LSvsNL,up
AUNIP,56.34703100774287,1.6136297960676234,0.2717116430873047,1.8720625373422206e-11,3.644542386887245e-10,LSvsNL,up
SFN,18901.5989764206,1.051821913549678,0.09758626466705816,3.0548102962407345e-28,7.334784661291957e-26,LSvsNL,up
CD164L2,432.3995713468354,1.0887540605899273,0.1727557548448899,7.514912662881563e-12,1.577335377068664e-10,LSvsNL,up
IFI6,378.9926594862422,1.8194368238857137,0.269387026266934,2.6098021553032345e-15,1.033938368877259e-13,LSvsNL,up
SNORA73B,11.829325457221637,1.0772799048104924,0.3042096418542968,1.4249784375017618e-5,7.778723148153779e-5,LSvsNL,up
LCK,221.0752210567419,1.5424231876846384,0.33224531038860383,6.923458923791616e-9,7.921736719518103e-8,LSvsNL,up
GJA4,85.41300512932267,1.3690254459849598,0.2970566897148931,2.8489992830924607e-8,2.8720160075805485e-7,LSvsNL,up
ZC3H12A,1168.0081032259386,1.1778371087052795,0.18483582515527347,3.641786391482622e-12,8.162855579324627e-11,LSvsNL,up
RIMS3,123.52460639016992,1.0538834343827883,0.20325305932029522,4.5869328021183476e-9,5.49011511443878e-8,LSvsNL,up
CFAP57,38.584702443832285,-1.1063895338417389,0.3046466716674663,1.961125812227886e-6,1.2976184027714118e-5,LSvsNL,down
CDC20,1153.1315919564315,1.2090222275098255,0.12791441650566712,7.888926006782435e-23,9.399684994697837e-21,LSvsNL,up
KIF2C,356.6489966722564,1.1815712064368191,0.17881344511139582,2.344096834399785e-12,5.470825115571928e-11,LSvsNL,up
BEST4,65.3975842539801,-1.0362871930658382,0.26171515847155213,3.1871698637151705e-6,2.036575839931222e-5,LSvsNL,down
HPDL,92.1264359010053,1.450941005814844,0.2705665803439542,1.3387994058769474e-9,1.8133294175155543e-8,LSvsNL,up
STIL,88.53842264820346,1.075569473004323,0.18758194541537787,5.13562647418875e-10,7.542564665103719e-9,LSvsNL,up
AGBL4,20.142253800671092,-3.071968212614363,0.39167856823347513,2.1599820776560676e-20,1.9122478203695924e-18,LSvsNL,down
TTC39A,782.1699741675633,1.6684311640386418,0.18890045386672322,5.1228179360999014e-20,4.196623380866423e-18,LSvsNL,up
RAB3B,367.06392218115127,-3.181388901770683,0.23204584900372308,5.197604245608461e-54,9.151826053350809e-51,LSvsNL,down
PCSK9,126.80463942444318,1.573536512331962,0.2586623615082034,4.614480558787289e-12,1.0128209614280078e-10,LSvsNL,up
CYP2J2,729.6071696332557,-1.7247738012305005,0.17653742125954544,1.3845257284756288e-26,2.742572402394161e-24,LSvsNL,down
FPGT-TNNI3K,34.60533235846256,-1.087613487462053,0.23959414020898112,8.622556599797825e-8,7.912081901389469e-7,LSvsNL,down
IFI44,182.060834624052,1.3118495866524809,0.2585841824569076,5.705810823120239e-9,6.643643211902015e-8,LSvsNL,up
LINC01725,144.61418547274644,-1.541366565183576,0.16988230407836974,1.7956682685779547e-22,2.062025728417018e-20,LSvsNL,down
GBP5,59.080656374001606,1.436568994890919,0.3862283599341175,4.236338188380664e-7,3.249431329683852e-6,LSvsNL,up
GBP6,212.25276512592228,1.36116635465518,0.2965849095224895,2.6489091366010374e-8,2.682536588653847e-7,LSvsNL,up
BCAR3,376.4058834475008,-1.3881232371372885,0.1658509905010355,1.5276748954438926e-19,1.1867188268676161e-17,LSvsNL,down
F3,1786.0680077964157,-1.7629691804193635,0.18237198179214,1.5794306065464403e-26,3.0523459538952974e-24,LSvsNL,down
RNPC3,2136.753053432573,-1.005253354286763,0.12793687938992887,2.127978915475357e-17,1.2489659953162216e-15,LSvsNL,down
GSTM2,449.59511262530236,-1.2278162795035217,0.16636608675445475,5.416474034774495e-16,2.4524246865448976e-14,LSvsNL,down
CHI3L2,2165.421811454952,1.641167220882117,0.4065783500978978,1.1542443691692412e-7,1.028757621947411e-6,LSvsNL,up
PIFO,66.17114165253507,-1.0879669561478729,0.2766825668100016,5.381017267963152e-7,4.045207810503419e-6,LSvsNL,down
TMIGD3,17.789157058487525,1.5646740093193905,0.432136713597802,1.6186089071134629e-6,1.0910291514686111e-5,LSvsNL,up
WNT2B,802.5538509380896,-1.0601751266206336,0.1138185812698744,2.4936756655793994e-22,2.8429696598875355e-20,LSvsNL,down
TAFA3,10.621988236950973,2.1526888686108094,0.3747161561339634,3.8056097189974795e-11,7.070046567051941e-10,LSvsNL,up
SYT6,23.06838906817044,1.1465122430594539,0.47176630017555166,1.9496773496841837e-4,8.022990641507467e-4,LSvsNL,up
NGF,18.35254395150517,1.1275566416940168,0.393822744805627,4.242916140653404e-5,2.0593412582215772e-4,LSvsNL,up
NHLH2,115.24212169248511,-1.2335619769481425,0.23061579946660868,1.4923826769824813e-10,2.489451398120145e-9,LSvsNL,down
LINC01762,23.72679813451079,-1.7026813689612421,0.22240403275577583,3.6478416021568166e-17,2.071947880622906e-15,LSvsNL,down
CD2,126.17913613319693,1.304852606902715,0.338485690700187,7.456138375556678e-7,5.412616804280654e-6,LSvsNL,up
HSD3B1,348.8156913157767,1.3575608493786187,1.0430256058557719,4.946307620394736e-5,2.3631033120408615e-4,LSvsNL,up
HMGCS2,312.03919150666064,-1.1025710484113507,0.29386819181357543,1.1481773197406423e-6,7.98033595874121e-6,LSvsNL,down
PDZK1,70.10290057703679,-1.1650403627623418,0.43759200822164873,2.8486070892575994e-5,1.443154620954769e-4,LSvsNL,down
GJA5,35.73143942979343,1.4889691068697037,0.46934663211802247,5.804119031800974e-6,3.464326715516009e-5,LSvsNL,up
U4,30.589900103108597,-1.0484583964002963,0.16723924971186271,7.346220766122935e-12,1.543972950673079e-10,LSvsNL,down
RORC,574.6564224632375,-1.1212518729852403,0.1792587950146976,2.0709051146194646e-12,4.905475837275733e-11,LSvsNL,down
FLG2,54913.6004461509,-1.135181856728132,0.15357055206978049,2.527399217773637e-16,1.2361634383968772e-14,LSvsNL,down
LCE3E,4837.870051409744,4.476067287698958,0.2934505661116377,1.1205835278223734e-63,3.5515774330802306e-60,LSvsNL,up
LCE3D,27284.402213721,3.8489170910694672,0.26157242638310746,1.973086055607706e-60,3.9084368404019144e-57,LSvsNL,up
LCE3C,783.1071096764555,5.197244535939884,0.783603712263048,3.1585302513569907e-24,4.722002725778701e-22,LSvsNL,up
