gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
TNFRSF4,49.39925083438878,1.516668886434467,0.3139801506382611,5.789014518018592e-9,6.789239192503682e-8,LSvsNL,up
SCNN1D,120.26701790803972,1.2581841655374961,0.28255823714007394,3.633357005603715e-8,3.6139998678518763e-07,LSvsNL,up
PLCH2,289.9403519850489,-1.0374590316554402,0.19222098513683755,3.415185177876364e-10,5.283128842309122e-9,LSvsNL,down
TNFRSF9,26.925347599319412,1.825109521566724,0.42622388287203455,3.187317261541678e-8,3.2156269738646886e-7,LSvsNL,up
AGMAT,13.046042191397373,1.3842849452191608,0.2919607494761504,3.854637833534698e-8,3.820066036003911e-7,LSvsNL,up
MST1L,76.37829229835366,-1.0120441238893496,0.1923542079097988,1.2604622470911171e-9,1.7394807374257447e-8,LSvsNL,down
PLA2G2A,976.2106599578591,1.9095096550629345,0.4205839856864125,1.6335157293130542e-9,2.1928261149778464e-8,LSvsNL,up
PLA2G2F,1400.1818353411988,1.3453756359918425,0.13026619646705118,5.921772985309704e-27,1.265623139478757e-24,LSvsNL,up
UBXN10,80.84588963907024,-1.0388869919331745,0.24493709813801717,6.697242031808914e-7,4.951447534031507e-6,LSvsNL,down
FAM43B,9.1014726395581,1.911027046304532,0.3621301422903177,4.056594020413568e-10,6.179590855699863e-9,LSvsNL,up
ALPL,56.55653691041595,1.743665939333381,0.3684715621874127,4.784258022702496e-9,5.722437633487234e-8,LSvsNL,up
C1QB,557.2876835861225,1.0363901389207362,0.30431565239857433,9.413586904534112e-6,5.359442414663427e-5,LSvsNL,up
EPHB2,50.41049225884681,1.3429771090435265,0.3802117486893031,3.2306142278924293e-6,2.0782125506398706e-5,LSvsNL,up
AUNIP,56.3810895867654,1.6127841431166818,0.27144817467041915,1.8044168153986895e-11,3.561256662517729e-10,LSvsNL,up
SFN,18899.09818624859,1.051545636786945,0.09766707725587692,3.468610107137021e-28,8.53645969245858e-26,LSvsNL,up
CD164L2,432.32432620053277,1.0882595787392062,0.1727888636699919,7.722276482130714e-12,1.6289991805097296e-10,LSvsNL,up
IFI6,378.6105409401402,1.8189564092888741,0.2694436984185612,2.681750667977046e-15,1.0808852630260833e-13,LSvsNL,up
SNORA73B,11.826955549016164,1.0771886896847012,0.303371961862438,1.3663463420888331e-5,7.538574604126671e-5,LSvsNL,up
