gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
TNFRSF4,49.39925083438878,1.519834259275712,0.3139415162001638,5.781897262660978e-9,6.79195761359303e-8,LSvsNL,up
SCNN1D,120.26701790803972,1.2582334639687702,0.2825428641469565,3.633110736231183e-8,3.620444845591111e-7,LSvsNL,up
PLCH2,289.9403519850489,-1.037499060324253,0.19221174040008923,3.4144596051021197e-10,5.293224580963733e-9,LSvsNL,down
TNFRSF9,26.925347599319412,1.8251672044756975,0.42618403954446904,3.182699447176965e-8,3.216856209234137e-7,LSvsNL,up
AGMAT,13.046042191397373,1.3840396480757837,0.2919190948777408,3.8371012876872704e-8,3.809743527135204e-7,LSvsNL,up
MST1L,76.37829229835366,-1.012070198413583,0.19234243680057564,1.2597354180221161e-9,1.7423488256226093e-8,LSvsNL,down
PLA2G2A,976.2106599578591,1.9095507678374248,0.4205711154641703,1.6335157293130542e-9,2.1977598495208582e-8,LSvsNL,up
PLA2G2F,1400.1818353411988,1.3453855684889442,0.1302641856782005,5.917429900081064e-27,1.268587965289747e-24,LSvsNL,up
UBXN10,80.84588963907024,-1.0398986533533607,0.2449130719327276,6.691282227985976e-7,4.955502788207978e-6,LSvsNL,down
FAM43B,9.1014726395581,1.9110369065683392,0.36204949793520047,4.032465147862592e-10,6.1575402674906475e-9,LSvsNL,up
ALPL,56.55653691041595,1.7437094825283308,0.3684550219558055,4.782178874651365e-9,5.729120617992256e-8,LSvsNL,up
C1QB,557.2876835861225,1.0364826777847687,0.3042848733181508,9.413586904534112e-6,5.368413420916146e-5,LSvsNL,up
EPHB2,50.41049225884681,1.3430662267376272,0.3801748158567108,3.2293906616047657e-6,2.081347391199622e-5,LSvsNL,up
AUNIP,56.3810895867654,1.6127992338561061,0.27143037525116853,1.8009919919001424e-11,3.565438945811546e-10,LSvsNL,up
SFN,18899.09818624859,1.0515561511357956,0.0976633181823961,3.456664761157404e-28,8.533248326293573e-26,LSvsNL,up
CD164L2,432.32432620053277,1.0882876243006407,0.17278411463401622,7.72283390702577e-12,1.6341315954178035e-10,LSvsNL,up
IFI6,378.6105409401402,1.8189705367032836,0.2694499330014219,2.687959974131763e-15,1.0840329667952678e-13,LSvsNL,up
SNORA73B,11.826955549016164,1.0773117771715488,0.3032898208875164,1.3623118432759866e-5,7.531777014759297e-5,LSvsNL,up
LCK,221.04947063763302,1.5415687162871063,0.332423258438365,7.087166635206057e-9,8.143244427885211e-8,LSvsNL,up
